ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,data_quality_flag
462454,male,No,19,No,healthcare,1.0,Low,3.0,Cat_2,D,Complete
467010,male,No,26,No,homemaker,9.0,Low,0.0,Cat_6,D,Complete
459861,female,Yes,83,No,lawyer,1.0,High,2.0,Cat_6,D,Complete
467917,female,No,27,Yes,healthcare,3.0,Low,4.0,Cat_1,D,Complete
465572,male,No,32,No,doctor,5.0,Low,1.0,Cat_4,D,Complete
460593,female,Yes,28,No,healthcare,1.0,Average,5.0,Cat_3,D,Complete
465891,female,Yes,28,Yes,artist,8.0,Low,2.0,Cat_6,A,Complete
467442,male,Yes,56,Yes,artist,0.0,Average,2.0,Cat_6,C,Complete
462044,female,No,47,Yes,artist,4.0,Low,1.0,Cat_6,B,Complete
465686,female,No,22,No,healthcare,0.0,Low,2.0,Cat_6,D,Complete
464590,female,No,27,Yes,artist,14.0,Low,3.0,Cat_6,A,Complete
466006,female,Yes,49,Yes,artist,1.0,Low,2.0,,C,Complete
466152,male,Yes,40,No,engineer,8.0,Low,1.0,Cat_6,A,Complete
463156,female,Yes,79,No,lawyer,0.0,High,2.0,Cat_6,A,Complete
465729,male,Yes,41,Yes,artist,0.0,Average,4.0,Cat_4,B,Complete
462384,female,No,29,Yes,healthcare,0.0,Low,1.0,Cat_7,A,Complete
462442,male,No,19,No,healthcare,0.0,Low,4.0,Cat_6,D,Complete
464191,female,No,45,Yes,engineer,1.0,Low,1.0,Cat_6,A,Complete
462078,female,Yes,61,No,artist,1.0,Average,2.0,Cat_2,B,Complete
467873,female,Yes,36,Yes,artist,1.0,Average,2.0,Cat_6,C,Complete
461270,male,Yes,40,Yes,artist,1.0,Low,1.0,Cat_3,A,Complete
462960,female,Yes,57,Yes,entertainment,0.0,Average,2.0,Cat_6,C,Complete
464961,male,Yes,76,No,marketing,1.0,Low,1.0,Cat_4,A,Complete
462110,male,Yes,32,Yes,artist,14.0,Average,2.0,Cat_6,B,Complete
465769,male,No,25,Yes,healthcare,9.0,Low,4.0,Cat_6,D,Complete
465269,female,Yes,45,Yes,artist,1.0,Average,3.0,Cat_3,C,Complete
460881,male,Yes,72,Yes,lawyer,1.0,Low,0.0,Cat_4,D,Complete
461891,male,Yes,48,Yes,artist,0.0,Average,2.0,Cat_6,C,Complete
466935,male,Yes,55,Yes,artist,9.0,Average,2.0,Cat_1,C,Complete
464091,male,Yes,74,Yes,lawyer,0.0,High,3.0,Cat_6,D,Complete
464535,male,Yes,56,Yes,lawyer,1.0,High,2.0,Cat_6,A,Complete
463108,male,Yes,59,Yes,lawyer,7.0,High,2.0,Cat_6,A,Complete
461356,male,No,25,Yes,entertainment,0.0,Low,2.0,Cat_6,A,Complete
464570,male,Yes,31,Yes,doctor,0.0,Average,2.0,Cat_6,A,Complete
464580,male,No,27,No,artist,8.0,Low,4.0,Cat_6,A,Complete
465233,male,Yes,57,Yes,artist,0.0,Average,4.0,Cat_6,B,Complete
467208,female,Yes,39,Yes,homemaker,0.0,High,2.0,Cat_6,A,Complete
459954,male,Yes,27,Yes,healthcare,8.0,Low,2.0,Cat_6,D,Complete
460219,female,Yes,51,Yes,entertainment,8.0,Average,2.0,Cat_6,A,Complete
460877,female,Yes,47,No,artist,0.0,Average,5.0,Cat_6,B,Complete
460191,female,No,33,No,healthcare,8.0,Low,4.0,Cat_6,D,Complete
463742,male,Yes,56,Yes,artist,0.0,Average,4.0,Cat_6,C,Complete
463691,female,No,33,No,homemaker,0.0,Low,3.0,Cat_6,B,Complete
463250,female,No,36,Yes,doctor,0.0,Low,2.0,Cat_6,D,Complete
463952,male,Yes,51,No,artist,4.0,Low,3.0,Cat_4,A,Complete
461558,male,Yes,45,Yes,engineer,2.0,Average,2.0,Cat_6,C,Complete
466567,female,No,49,Yes,Not Provided,1.0,Low,1.0,Cat_6,D,Incomplete
465379,male,No,30,No,healthcare,0.0,Low,4.0,Cat_6,C,Complete
463814,female,No,26,No,healthcare,6.0,Low,3.0,Cat_5,D,Complete
466938,male,Yes,63,Yes,artist,8.0,Low,1.0,Cat_6,A,Complete
460671,male,Yes,35,No,entertainment,8.0,Average,4.0,Cat_3,B,Complete
462204,female,No,19,No,marketing,1.0,Low,3.0,Cat_4,A,Complete
461671,male,No,32,No,healthcare,7.0,Low,5.0,Cat_6,D,Complete
459384,male,Yes,52,Yes,artist,0.0,Average,3.0,Cat_6,C,Complete
459905,female,Yes,36,Yes,artist,5.0,Low,2.0,Cat_6,C,Complete
464734,female,No,42,No,entertainment,7.0,Low,3.0,Cat_4,D,Complete
464125,male,Yes,40,No,doctor,0.0,Average,2.0,Cat_3,D,Complete
467434,male,No,39,Yes,entertainment,0.0,Low,3.0,Cat_1,B,Complete
460956,female,Yes,47,Yes,artist,1.0,Average,4.0,Cat_3,C,Complete
465179,female,Yes,61,Yes,artist,1.0,High,2.0,Cat_6,C,Complete
463338,male,Yes,32,No,entertainment,1.0,Low,2.0,Cat_3,D,Complete
467066,male,Yes,55,No,artist,0.0,Low,1.0,Cat_6,B,Complete
463845,male,Yes,58,Yes,artist,0.0,Average,1.0,Cat_6,D,Complete
459976,female,No,38,Yes,artist,0.0,Low,1.0,Cat_6,D,Complete
461334,male,Yes,63,Yes,artist,0.0,High,2.0,Cat_6,C,Complete
465108,male,Yes,58,Yes,doctor,1.0,Average,2.0,Cat_6,C,Complete
462600,male,Yes,30,No,engineer,3.0,Average,3.0,Cat_4,D,Complete
464144,male,Yes,60,Yes,artist,0.0,Average,4.0,Cat_6,C,Complete
466911,male,Yes,68,No,executive,1.0,High,7.0,Cat_6,B,Complete
462806,male,Yes,52,No,artist,0.0,Low,3.0,Cat_4,A,Complete
463426,male,Yes,38,No,executive,0.0,High,5.0,Cat_6,A,Complete
464065,female,Yes,35,Yes,healthcare,10.0,Low,2.0,Cat_6,B,Complete
462979,male,No,18,No,doctor,1.0,Low,2.0,Cat_6,D,Complete
462834,male,Yes,30,Yes,homemaker,3.0,Low,2.0,Cat_1,D,Complete
460764,male,No,86,No,lawyer,1.0,Low,1.0,Cat_6,D,Complete
466466,female,Unknown,19,No,healthcare,6.0,Low,5.0,Cat_3,D,Incomplete
460185,male,No,25,No,healthcare,9.0,Low,3.0,Cat_6,D,Complete
459749,male,Yes,59,Yes,entertainment,0.0,Low,4.0,Cat_4,A,Complete
464406,female,No,39,Yes,artist,0.0,Low,1.0,Cat_6,A,Complete
467758,female,Yes,50,Yes,doctor,1.0,Low,0.0,Cat_6,B,Complete
462059,male,No,47,Yes,artist,1.0,Low,1.0,Cat_6,C,Complete
467905,male,Yes,43,Yes,executive,0.0,High,3.0,Cat_6,D,Complete
461177,male,Yes,36,No,executive,8.0,Average,4.0,Cat_1,B,Complete
460765,male,Yes,80,No,lawyer,1.0,Low,1.0,Cat_6,D,Complete
465386,male,No,36,Yes,artist,0.0,Low,2.0,Cat_2,C,Complete
465827,male,No,27,No,Not Provided,2.0,Low,7.0,Cat_4,D,Incomplete
462332,female,Yes,37,Yes,artist,1.0,High,2.0,Cat_7,A,Complete
464481,male,Yes,46,Yes,executive,0.0,High,3.0,Cat_6,C,Complete
461011,male,Yes,55,No,executive,1.0,High,4.0,Cat_3,B,Complete
464749,female,Yes,47,No,engineer,9.0,Average,4.0,Cat_4,B,Complete
461094,female,No,28,Yes,healthcare,1.0,Low,3.0,Cat_3,D,Complete
462104,male,Yes,39,No,entertainment,9.0,Low,2.0,Cat_3,D,Complete
464524,female,Yes,27,No,marketing,1.0,Low,2.0,Cat_6,A,Complete
466295,female,Yes,42,No,engineer,0.0,Low,0.0,Cat_6,A,Complete
461787,male,Yes,72,Yes,artist,0.0,Average,2.0,Cat_6,C,Complete
467857,female,Yes,28,Yes,engineer,0.0,Low,2.0,Cat_6,A,Complete
460153,male,No,35,Yes,entertainment,8.0,Low,5.0,Cat_6,C,Complete
465215,male,Yes,39,Yes,executive,9.0,High,5.0,Cat_2,A,Complete
466746,female,Yes,69,Yes,lawyer,0.0,High,2.0,Cat_6,C,Complete
464857,male,No,18,No,healthcare,6.0,Low,4.0,Cat_4,D,Complete
459478,male,Yes,46,Yes,artist,0.0,Low,1.0,Cat_6,A,Complete
460723,female,Yes,50,Yes,engineer,1.0,High,2.0,Cat_4,B,Complete
459853,male,No,30,No,executive,5.0,Low,5.0,Cat_6,A,Complete
459390,female,No,41,No,artist,0.0,Low,2.0,Cat_6,B,Complete
460410,female,No,39,Yes,artist,3.0,Low,4.0,Cat_6,D,Complete
463823,female,No,29,No,marketing,8.0,Low,4.0,Cat_6,D,Complete
462008,female,Yes,37,Yes,artist,4.0,Low,4.0,Cat_5,B,Complete
459750,female,Yes,39,Yes,engineer,0.0,Average,2.0,Cat_6,A,Complete
459880,female,Yes,48,Yes,artist,0.0,Average,5.0,Cat_7,C,Complete
459261,female,No,32,Yes,doctor,0.0,Low,3.0,Cat_6,C,Complete
465656,male,Yes,78,No,lawyer,1.0,Low,0.0,Cat_6,B,Complete
465395,female,Yes,43,No,engineer,0.0,Average,5.0,Cat_4,B,Complete
461631,male,No,29,No,marketing,8.0,Low,5.0,Cat_6,C,Complete
464904,female,Yes,28,No,engineer,9.0,Average,2.0,Cat_4,A,Complete
461740,male,Yes,80,Yes,lawyer,1.0,Low,1.0,Cat_6,B,Complete
467092,female,No,28,Yes,healthcare,7.0,Low,4.0,Cat_6,D,Complete
464173,male,Yes,71,Yes,artist,6.0,Average,3.0,Cat_6,C,Complete
464972,male,Yes,67,No,lawyer,0.0,High,9.0,Cat_4,A,Complete
467959,female,No,26,No,engineer,0.0,Low,1.0,Cat_2,A,Complete
467688,female,Yes,47,Yes,engineer,0.0,Average,2.0,Cat_6,C,Complete
460043,female,Yes,43,Yes,artist,2.0,Average,2.0,Cat_6,B,Complete
466590,female,No,27,Yes,healthcare,0.0,Low,4.0,Cat_6,C,Complete
461191,female,Yes,45,Yes,marketing,8.0,Low,4.0,Cat_6,D,Complete
465662,male,Yes,76,No,executive,1.0,Low,1.0,Cat_6,C,Complete
459231,female,Yes,43,Yes,artist,3.0,Average,4.0,Cat_6,C,Complete
466495,female,Yes,78,Yes,lawyer,1.0,High,2.0,Cat_6,B,Complete
459192,male,Yes,35,Yes,artist,3.0,Average,3.0,Cat_6,C,Complete
465710,female,No,49,Yes,artist,1.0,Low,1.0,Cat_6,C,Complete
460258,female,No,25,Yes,healthcare,1.0,Low,5.0,Cat_6,D,Complete
462813,male,Yes,37,No,executive,0.0,Average,5.0,Cat_6,A,Complete
463595,female,No,32,No,healthcare,1.0,Low,5.0,,C,Complete
467768,male,Yes,60,Yes,doctor,0.0,Average,2.0,Cat_6,C,Complete
465291,female,Yes,45,Yes,artist,5.0,Average,3.0,Cat_6,C,Complete
462996,female,Yes,49,Yes,homemaker,9.0,Average,3.0,Cat_6,C,Complete
463497,male,No,32,Yes,artist,0.0,Low,5.0,Cat_6,D,Complete
465301,female,Yes,40,Yes,artist,0.0,Low,3.0,Cat_3,B,Complete
464702,male,Yes,59,No,artist,2.0,Average,2.0,Cat_4,C,Complete
459012,male,Yes,48,Yes,artist,3.0,Low,5.0,Cat_6,B,Complete
465053,male,Yes,82,Yes,executive,0.0,High,2.0,Cat_6,C,Complete
459420,female,Yes,70,Yes,lawyer,0.0,Low,2.0,Cat_6,B,Complete
464166,male,No,31,Yes,artist,5.0,Low,2.0,Cat_6,B,Complete
458987,female,Yes,72,Yes,lawyer,0.0,High,2.0,Cat_6,C,Complete
467745,male,Yes,50,Yes,artist,3.0,Average,4.0,Cat_6,C,Complete
464866,female,No,23,No,engineer,11.0,Low,1.0,Cat_3,D,Complete
461081,female,No,20,No,healthcare,2.0,Low,6.0,Cat_6,D,Complete
467896,female,No,22,No,healthcare,4.0,Low,3.0,Cat_6,D,Complete
463991,female,No,31,Yes,engineer,8.0,Low,1.0,Cat_6,A,Complete
466620,female,Yes,36,Yes,artist,7.0,Average,2.0,Cat_6,C,Complete
462594,male,Yes,52,No,entertainment,0.0,Average,5.0,Cat_4,B,Complete
462206,female,No,29,Yes,artist,0.0,Low,1.0,Cat_4,B,Complete
460697,male,Yes,40,Yes,artist,4.0,Average,4.0,Cat_6,C,Complete
467934,female,No,40,Yes,artist,1.0,Low,1.0,Cat_6,A,Complete
460054,male,Yes,38,Yes,artist,0.0,Low,2.0,Cat_6,C,Complete
459576,female,Yes,85,No,lawyer,0.0,Low,0.0,,A,Complete
467910,female,No,21,No,doctor,1.0,Low,3.0,Cat_7,A,Complete
467335,female,Yes,41,No,engineer,4.0,Average,2.0,Cat_6,D,Complete
460263,male,Yes,40,Yes,artist,0.0,Low,2.0,Cat_6,B,Complete
459340,male,Yes,53,Yes,artist,1.0,Average,3.0,Cat_6,B,Complete
465622,female,Yes,42,Yes,artist,5.0,Low,2.0,Cat_6,C,Complete
459395,male,Yes,42,No,executive,8.0,Low,2.0,Cat_6,D,Complete
467539,male,Yes,48,Yes,artist,0.0,Average,4.0,Cat_7,C,Complete
466574,male,Yes,59,Yes,artist,7.0,Low,2.0,Cat_6,C,Complete
466544,male,Yes,41,Yes,executive,1.0,Average,3.0,Cat_6,A,Complete
463610,female,Yes,31,Yes,artist,0.0,Average,2.0,Cat_6,A,Complete
465539,female,Yes,49,Yes,artist,1.0,High,5.0,Cat_6,B,Complete
459823,male,Yes,67,Yes,executive,1.0,Low,2.0,Cat_6,A,Complete
467614,male,Yes,35,No,artist,4.0,Average,2.0,Cat_6,B,Complete
459073,female,No,26,Yes,healthcare,0.0,Low,3.0,Cat_6,C,Complete
466065,male,Unknown,19,No,healthcare,9.0,Low,3.0,Cat_3,D,Incomplete
464863,female,Yes,25,No,engineer,6.0,Average,8.0,Cat_4,D,Complete
460022,female,Yes,39,Yes,healthcare,4.0,Low,2.0,Cat_6,A,Complete
459929,male,Yes,63,Yes,entertainment,0.0,Low,2.0,Cat_6,A,Complete
466613,male,No,23,No,healthcare,8.0,Low,3.0,Cat_6,D,Complete
461149,female,No,23,No,healthcare,0.0,Low,3.0,Cat_3,D,Complete
466068,female,Yes,53,Yes,artist,2.0,Low,1.0,Cat_6,C,Complete
461513,male,No,33,Yes,doctor,0.0,Low,2.0,Cat_6,B,Complete
464761,female,Yes,50,No,engineer,0.0,Average,4.0,Cat_2,B,Complete
466236,female,Yes,69,Yes,engineer,0.0,Low,2.0,Cat_4,B,Complete
459664,male,No,37,Yes,artist,2.0,Low,1.0,Cat_6,B,Complete
461967,female,No,20,No,marketing,3.0,Low,4.0,Cat_7,C,Complete
460516,female,Unknown,85,No,lawyer,0.0,High,1.0,Cat_3,C,Incomplete
461710,female,Yes,49,Yes,doctor,1.0,Average,4.0,Cat_6,C,Complete
462742,male,No,18,No,healthcare,0.0,Low,3.0,Cat_3,D,Complete
459528,female,Yes,52,Yes,doctor,0.0,Average,2.0,Cat_6,C,Complete
462691,male,Yes,25,No,doctor,0.0,Average,2.0,Cat_4,B,Complete
462934,male,Yes,56,No,executive,0.0,High,2.0,Cat_6,A,Complete
465837,male,No,62,Yes,Not Provided,0.0,Low,1.0,Cat_6,A,Incomplete
467515,male,Yes,28,Yes,engineer,0.0,Average,2.0,Cat_6,A,Complete
463429,female,No,28,Yes,artist,7.0,Low,3.0,Cat_6,A,Complete
464024,male,No,20,No,healthcare,0.0,Low,5.0,Cat_7,D,Complete
460691,female,No,27,No,homemaker,8.0,Low,1.0,Cat_3,D,Complete
461825,female,No,56,No,engineer,0.0,Low,1.0,Cat_6,A,Complete
467271,male,Yes,45,Yes,artist,4.0,Average,4.0,Cat_6,B,Complete
465634,male,No,25,Yes,healthcare,1.0,Low,4.0,Cat_4,B,Complete
464801,male,No,40,No,marketing,1.0,Low,1.0,Cat_4,D,Complete
459429,female,Yes,25,Yes,healthcare,0.0,Low,2.0,Cat_6,D,Complete
459888,female,Yes,74,No,lawyer,0.0,High,2.0,Cat_6,D,Complete
463467,female,No,23,No,healthcare,0.0,Low,4.0,,D,Complete
462036,female,Yes,67,Yes,lawyer,0.0,High,2.0,Cat_6,B,Complete
461282,male,No,21,No,healthcare,0.0,Low,4.0,,D,Complete
460448,female,No,38,Yes,artist,9.0,Low,1.0,Cat_3,A,Complete
464464,male,No,28,No,healthcare,0.0,Low,4.0,Cat_2,C,Complete
462410,female,No,32,No,healthcare,1.0,Low,5.0,Cat_7,B,Complete
467252,female,No,33,Yes,Not Provided,0.0,Low,4.0,,D,Incomplete
459756,female,Yes,56,No,lawyer,1.0,High,4.0,Cat_4,B,Complete
463789,female,Yes,53,Yes,artist,1.0,Low,2.0,Cat_6,C,Complete
466947,male,Yes,57,No,executive,1.0,High,5.0,Cat_6,C,Complete
464150,female,Yes,59,Yes,artist,0.0,Average,3.0,Cat_6,C,Complete
465693,female,Yes,25,Yes,healthcare,1.0,High,4.0,Cat_4,A,Complete
461670,male,Yes,59,Yes,artist,0.0,Average,6.0,Cat_6,C,Complete
466768,female,Yes,36,Yes,artist,0.0,Low,4.0,Cat_6,C,Complete
461550,male,Yes,37,Yes,entertainment,7.0,Low,2.0,Cat_6,A,Complete
462438,male,No,22,No,doctor,1.0,Low,3.0,Cat_2,D,Complete
460704,male,Yes,43,Yes,artist,1.0,Low,2.0,Cat_6,B,Complete
464884,male,Yes,41,Yes,artist,1.0,Low,2.0,Cat_4,A,Complete
467050,female,No,21,No,engineer,0.0,Low,5.0,Cat_2,B,Complete
460738,female,No,49,No,engineer,1.0,Low,0.0,Cat_7,A,Complete
466176,male,No,38,Yes,doctor,8.0,Low,1.0,Cat_2,B,Complete
459488,male,Yes,47,No,artist,0.0,Average,4.0,Cat_6,A,Complete
467773,male,Yes,70,Yes,lawyer,1.0,High,3.0,Cat_6,C,Complete
465425,female,No,31,No,engineer,1.0,Low,4.0,Cat_6,B,Complete
462318,female,Yes,82,No,lawyer,0.0,Average,2.0,Cat_6,A,Complete
466078,female,Yes,51,No,executive,0.0,Low,1.0,Cat_6,A,Complete
460792,female,No,42,No,homemaker,11.0,Low,0.0,Cat_6,A,Complete
460197,male,No,38,Yes,artist,8.0,Low,3.0,Cat_2,A,Complete
459375,male,Yes,18,No,executive,0.0,High,4.0,Cat_6,A,Complete
463862,male,Yes,50,Yes,artist,6.0,Average,3.0,Cat_6,C,Complete
460144,female,No,46,Yes,doctor,1.0,Low,0.0,Cat_3,A,Complete
462721,female,Yes,72,No,lawyer,1.0,High,3.0,Cat_6,D,Complete
459637,female,No,33,No,engineer,0.0,Low,4.0,Cat_6,C,Complete
465809,female,No,25,No,homemaker,1.0,Low,7.0,Cat_4,B,Complete
466915,female,Yes,75,No,entertainment,2.0,High,2.0,Cat_2,D,Complete
467343,male,No,72,Yes,artist,1.0,Low,1.0,Cat_6,B,Complete
466268,female,Yes,72,Yes,artist,0.0,Average,3.0,Cat_4,C,Complete
464868,male,Yes,36,Yes,entertainment,6.0,Low,6.0,Cat_4,A,Complete
464038,male,Yes,40,Yes,artist,1.0,Low,2.0,Cat_6,A,Complete
460176,female,No,28,Yes,entertainment,0.0,Low,4.0,Cat_6,C,Complete
462161,female,No,28,Yes,doctor,0.0,Low,3.0,Cat_6,D,Complete
464841,male,Unknown,19,No,entertainment,0.0,High,3.0,Cat_4,D,Incomplete
464893,male,Yes,43,Yes,artist,0.0,Low,2.0,Cat_4,B,Complete
464443,female,Yes,35,Yes,artist,1.0,Average,2.0,Cat_6,B,Complete
467619,male,Yes,65,Yes,lawyer,1.0,High,2.0,Cat_6,B,Complete
465974,male,Yes,52,Yes,executive,7.0,High,4.0,Cat_4,C,Complete
462075,female,No,40,Yes,artist,1.0,Low,1.0,Cat_6,B,Complete
459494,female,Yes,69,No,engineer,9.0,Low,3.0,Cat_6,A,Complete
466921,female,No,22,No,healthcare,3.0,Low,3.0,Cat_6,D,Complete
463544,male,Yes,47,Yes,executive,1.0,Average,4.0,Cat_6,C,Complete
461167,male,Yes,29,Yes,marketing,1.0,High,2.0,Cat_3,A,Complete
467364,male,Yes,46,Yes,artist,1.0,Average,3.0,Cat_3,C,Complete
462408,male,No,32,Yes,artist,1.0,Low,2.0,Cat_6,A,Complete
466224,female,No,38,Yes,healthcare,0.0,Low,1.0,Cat_2,C,Complete
465151,male,Yes,59,Yes,artist,0.0,Low,1.0,Cat_6,B,Complete
467216,female,No,26,Yes,entertainment,1.0,Low,1.0,Cat_6,D,Complete
460586,male,No,26,Yes,healthcare,1.0,Low,2.0,Cat_3,A,Complete
461197,male,No,28,No,marketing,0.0,Low,1.0,Cat_3,D,Complete
462776,female,Yes,53,Yes,engineer,1.0,Average,3.0,Cat_6,C,Complete
464088,male,No,27,No,doctor,1.0,Low,3.0,Cat_6,D,Complete
459471,female,No,32,No,artist,0.0,Low,8.0,Cat_6,C,Complete
464695,male,No,26,No,engineer,0.0,Low,4.0,Cat_4,D,Complete
462331,female,No,31,No,entertainment,0.0,Low,2.0,Cat_6,D,Complete
466523,male,Yes,39,Yes,executive,1.0,High,3.0,Cat_3,B,Complete
465337,female,Yes,43,No,engineer,1.0,Low,3.0,Cat_7,A,Complete
460834,male,Yes,25,No,doctor,1.0,Low,2.0,Cat_1,A,Complete
466824,male,Yes,40,Yes,artist,3.0,High,3.0,Cat_6,A,Complete
461607,female,Yes,40,Yes,entertainment,7.0,Average,2.0,Cat_3,B,Complete
465091,male,Yes,63,Yes,entertainment,0.0,Average,3.0,Cat_6,C,Complete
459532,female,Yes,27,Yes,healthcare,0.0,Low,2.0,Cat_6,D,Complete
466999,male,No,27,Yes,healthcare,1.0,Low,3.0,Cat_6,D,Complete
466597,female,No,19,No,healthcare,1.0,Low,2.0,Cat_6,D,Complete
464075,female,Yes,86,Yes,lawyer,0.0,High,2.0,Cat_6,B,Complete
463394,male,Yes,41,Yes,marketing,0.0,High,2.0,Cat_6,B,Complete
462163,female,Yes,27,Yes,artist,4.0,Average,2.0,Cat_3,C,Complete
463895,female,Yes,70,No,doctor,0.0,Average,2.0,Cat_6,B,Complete
464767,female,Yes,53,No,engineer,8.0,Average,4.0,Cat_4,B,Complete
464763,female,Yes,49,No,engineer,0.0,Average,4.0,Cat_4,B,Complete
460718,male,Yes,55,No,executive,3.0,Low,0.0,Cat_4,D,Complete
461989,female,Unknown,57,Yes,engineer,0.0,Average,4.0,Cat_2,C,Incomplete
466374,male,Yes,83,No,lawyer,0.0,Low,1.0,Cat_4,B,Complete
463738,male,Yes,43,No,executive,0.0,High,4.0,Cat_6,A,Complete
465967,male,Yes,36,No,doctor,6.0,Low,3.0,Cat_6,A,Complete
462260,male,Yes,74,Yes,lawyer,0.0,Low,2.0,Cat_6,C,Complete
467234,female,No,30,No,homemaker,0.0,Low,4.0,Cat_6,D,Complete
466573,female,No,37,Yes,artist,5.0,Low,2.0,Cat_6,B,Complete
463229,female,No,22,No,marketing,0.0,Low,1.0,Cat_5,B,Complete
459768,male,No,19,No,healthcare,0.0,Low,4.0,Cat_6,D,Complete
462541,male,Yes,70,Yes,engineer,4.0,High,2.0,Cat_6,B,Complete
467714,male,Yes,89,Yes,lawyer,13.0,Low,1.0,Cat_6,A,Complete
467730,male,No,18,No,healthcare,0.0,Low,4.0,Cat_6,D,Complete
459474,male,No,25,Yes,doctor,6.0,Low,1.0,Cat_2,D,Complete
460093,female,No,45,Yes,artist,4.0,Low,1.0,Cat_3,A,Complete
467865,female,No,35,Yes,artist,3.0,Low,1.0,Cat_4,A,Complete
465758,female,Yes,37,No,engineer,7.0,Low,1.0,Cat_4,D,Complete
464184,female,Yes,39,No,engineer,4.0,Average,2.0,Cat_6,B,Complete
462618,female,No,32,Yes,healthcare,1.0,Low,5.0,Cat_4,D,Complete
464226,female,Yes,62,Yes,artist,2.0,Average,3.0,Cat_6,C,Complete
465432,female,Yes,58,Yes,engineer,0.0,Average,4.0,Cat_4,B,Complete
464087,female,No,32,No,engineer,0.0,Low,4.0,Cat_6,C,Complete
466627,male,No,25,No,healthcare,0.0,Low,5.0,Cat_6,C,Complete
467380,female,Yes,56,Yes,artist,0.0,Average,4.0,Cat_6,C,Complete
465842,female,No,36,Yes,entertainment,10.0,Low,2.0,Cat_6,A,Complete
464622,female,No,30,No,healthcare,8.0,Low,3.0,Cat_6,A,Complete
462083,male,No,19,No,healthcare,1.0,Low,5.0,Cat_6,D,Complete
460910,male,No,27,Yes,healthcare,0.0,Low,2.0,Cat_6,A,Complete
460255,female,No,38,Yes,doctor,14.0,Low,1.0,Cat_6,A,Complete
460109,male,Yes,46,Yes,artist,8.0,Average,2.0,Cat_6,C,Complete
464306,male,No,29,Yes,artist,3.0,Low,1.0,Cat_6,B,Complete
466835,male,Yes,51,No,entertainment,1.0,Average,4.0,Cat_7,B,Complete
465192,male,Yes,55,No,artist,0.0,Low,1.0,Cat_6,A,Complete
463380,female,Yes,69,Yes,engineer,1.0,Low,1.0,Cat_3,A,Complete
462391,female,No,26,No,healthcare,1.0,Low,8.0,Cat_7,C,Complete
467086,female,Yes,83,Yes,lawyer,0.0,Low,3.0,Cat_6,A,Complete
460306,female,No,39,Yes,healthcare,9.0,Low,1.0,Cat_6,D,Complete
